# *Raw* data from run name: arls_runs_amazon_2020_06_08_1042
# Method #1 = Hybrid Deterministic s = 2^{16}
# Method #2 = Hybrid Deterministic s = 2^{17}
# Method #3 = Not Random
# Method #4 = Random s = 2^{16}
# Method #5 = Random s = 2^{17}
IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
M1, 4423.207108, 2817.531037, 2882.184049, 4251.267774, 1826.085033, 2859.972511, 2863.579728, 2494.703075, 2014.419158, 1855.905340
M2, 2801.495334, 1615.738818, 3141.620000, 1582.645729, 1660.389719, 3079.326838, 2324.687881, 1648.785879, 2781.754130, 3192.336979
M3, 29832.338977, 36043.518043, 26295.171712, 29525.762760, 26124.834866, 25326.978189, 25017.443190, 25009.800477, 28280.430353, 31465.182911
M4, 2812.728957, 2106.943829, 2084.743817, 1758.011481, 2066.640241, 3750.679647, 2063.391007, 1847.068764, 1516.934256, 1801.157013
M5, 1972.579634, 3320.913123, 1894.616252, 3347.405495, 2594.404158, 2227.315341, 2589.569860, 2664.605178, 2596.659123, 1888.780925
