# *Raw* data from run name: arls_runs_amazon_2020_06_08_1042
# Method #1 = Hybrid Deterministic s = 2^{16}
# Method #2 = Hybrid Deterministic s = 2^{17}
# Method #3 = Not Random
# Method #4 = Random s = 2^{16}
# Method #5 = Random s = 2^{17}
IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
M1, 0.338710, 0.338639, 0.338447, 0.338292, 0.337473, 0.338377, 0.339052, 0.338370, 0.337791, 0.338017
M2, 0.339009, 0.337564, 0.339349, 0.337754, 0.336136, 0.339171, 0.338362, 0.337771, 0.339172, 0.339675
M3, 0.339073, 0.339594, 0.339593, 0.339635, 0.339307, 0.339210, 0.339087, 0.339238, 0.339579, 0.339356
M4, 0.337955, 0.337725, 0.337381, 0.337310, 0.336840, 0.337936, 0.337695, 0.337452, 0.336213, 0.337318
M5, 0.338334, 0.338745, 0.338457, 0.338752, 0.338778, 0.338799, 0.338681, 0.338634, 0.338635, 0.338607
