# *Raw* data from run name: arls_runs_enron_2020_06_17_2310
# Method #1 = RRF s = 2^{18}
# Method #2 = RRF s = 2^{19}
# Method #3 = Not Random
# Method #4 = Random Guassian s = 2^{18}
# Method #5 = Random Guassian s = 2^{19}
IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
M1, 0.092274, 0.089718, 0.090260, 0.097638, 0.081282, 0.093219, 0.090529, 0.091859, 0.093625, 0.091316
M2, 0.097654, 0.096546, 0.090933, 0.088790, 0.091129, 0.096349, 0.089868, 0.085855, 0.095372, 0.086443
M3, 0.096917, 0.099327, 0.099728, 0.098382, 0.096432, 0.097945, 0.096658, 0.103812, 0.098073, 0.094833
M4, 0.080970, 0.078327, 0.069785, 0.079933, 0.076229, 0.079905, 0.078002, 0.088036, 0.081588, 0.077261
M5, 0.077432, 0.078504, 0.088807, 0.086460, 0.087247, 0.089528, 0.077838, 0.078853, 0.085746, 0.092052
