IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
S, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288
M1, 0.35073583, 0.09054900, 0.04483385, 0.02530210, 0.01042771, 0.00535394, 0.00283435, 0.00140309, 0.00067080, 0.00037919, 0.00017249, 0.00009094, 0.00004555
M1_MAX, 0.97778572, 0.18636315, 0.07302613, 0.05554145, 0.01733880, 0.00791290, 0.00589362, 0.00279733, 0.00084899, 0.00139015, 0.00024128, 0.00013970, 0.00005966
M1_MIN, 0.08300540, 0.04499566, 0.03042475, 0.01487188, 0.00715826, 0.00389370, 0.00202131, 0.00107030, 0.00053328, 0.00027060, 0.00014408, 0.00007322, 0.00003647
M2, 0.289055, 0.141021, 0.042332, 0.021286, 0.009771, 0.004247, 0.002172, 0.000960, 0.000444, 0.000151, 0.000046, 0.000012, 0.000002
M2_MAX, 1.02557029, 0.75901473, 0.07355563, 0.05290300, 0.01394742, 0.00563070, 0.00322519, 0.00146980, 0.00105884, 0.00027946, 0.00007269, 0.00001877, 0.00000233
M2_MIN, 0.09030170, 0.05078467, 0.02801370, 0.01537213, 0.00762852, 0.00325308, 0.00150595, 0.00076938, 0.00031465, 0.00011361, 0.00003453, 0.00000915, 0.00000160
SDET, 0.000000, 0.000000, 0.000000, 0.000000, 2.392578, 8.203125, 7.812500, 11.816406, 18.951416, 19.503784, 17.755127, 16.872025, 14.570236
PDET, 0.000000, 0.000000, 0.000000, 0.000000, 0.027780, 0.125290, 0.178707, 0.283322, 0.463441, 0.606000, 0.717123, 0.828422, 0.915838
