# *Raw* data from run name: arls_runs_amazon_2020_06_08_1042
# Method #1 = Hybrid Deterministic s = 2^{16}
# Method #2 = Hybrid Deterministic s = 2^{17}
# Method #3 = Not Random
# Method #4 = Random s = 2^{16}
# Method #5 = Random s = 2^{17}
IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88
M1, 365.234545, 368.855966, 370.417945, 363.580489, 353.039864, 345.131359, 352.876200, 354.810639, 351.781414, 359.299967, 352.102543, 358.191491, 343.331626, 343.849881, 339.173113, 332.638372, 339.173870, 337.107373, 336.708807, 343.097103, 333.520376, 353.144892, 346.418867, 346.818618, 359.472136, 341.747930, 351.809018, 344.743988, 337.986369, 339.000010, 346.510888, 334.511408, 346.851396, 348.444990, 350.874660, 338.030142, 341.885980, 351.083184, 349.340446, 358.917149, 334.801310, 346.855802, 336.927636, 343.726885, 354.985204, 361.274383, 353.562662, 331.855375, 350.355506, 336.393152, 338.173349, 345.892541, 336.140653, 335.554257, 348.363656, 350.187140, 348.962367, 342.313890, 343.282178, 339.380338, 355.808954, 364.352560, 344.977553, 341.366036, 338.432382, 335.601247, 329.797456, 332.009407, 393.549274, 365.174598, 354.427232, 412.434489, 382.563707, 339.337399, 360.068175, 360.641844, 343.926716, 342.712667, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2, 383.960244, 383.748619, 386.911536, 402.618509, 390.881539, 374.451678, 371.735880, 385.176035, 378.960035, 372.089189, 376.095058, 354.969561, 391.076704, 382.887555, 382.593699, 383.348151, 380.353956, 374.056136, 384.529499, 382.903262, 364.146584, 369.897421, 362.020185, 379.748991, 394.344351, 399.847463, 380.809553, 372.852073, 374.182769, 371.992561, 374.253222, 383.566209, 367.540475, 359.745924, 374.619270, 379.363415, 368.562184, 361.162876, 362.463713, 383.438238, 365.713638, 391.847133, 396.051442, 378.329027, 376.369435, 360.578865, 394.852543, 388.257330, 378.553739, 371.333498, 379.239681, 397.158025, 368.720703, 399.771015, 427.825914, 372.890296, 378.459226, 373.698247, 391.236129, 376.080898, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M3, 3381.467325, 3312.067517, 3363.635374, 3321.154138, 3299.431429, 3304.246706, 3311.232277, 3280.289649, 3258.813010, 3271.215811, 3309.562586, 3336.001961, 3287.142531, 3230.622928, 3265.099516, 3304.644322, 3222.563145, 3319.364700, 3217.716300, 3279.583438, 3315.763783, 3316.558300, 3280.269953, 3294.296596, 3273.459927, 3304.049098, 3246.096903, 3264.676167, 3308.309183, 3256.867682, 3268.560090, 3270.279782, 3291.893520, 3336.317256, 3239.921252, 3263.736417, 3289.877322, 3217.705207, 3278.155767, 3309.042768, 3299.518276, 3231.514282, 3226.139180, 3257.606994, 3305.151252, 3189.720582, 3148.475265, 3208.838793, 3216.648528, 3152.907454, 3083.232705, 3196.319170, 3130.833998, 3118.531935, 3101.196779, 3184.639134, 3071.055944, 3101.843078, 3146.416091, 3201.346875, 3092.412895, 3087.265229, 3067.746857, 3078.092365, 3102.013232, 3205.357829, 3190.158634, 3114.347729, 3164.817719, 3163.311031, 3142.268243, 3137.778375, 3206.921232, 3162.465675, 3107.084729, 3133.234800, 3115.288974, 3112.077026, 3210.930404, 3167.126005, 3171.705979, 3165.013672, 3118.943251, 3144.700196, 3155.723709, 3066.485792, 3123.531432, 3141.021411
M4, 323.574854, 357.369456, 342.647450, 343.413403, 337.203603, 328.447288, 338.363724, 339.854995, 335.850704, 343.987815, 328.069263, 327.324053, 335.249859, 335.097691, 328.955942, 343.755374, 321.854752, 318.796274, 339.755014, 329.222417, 336.103757, 328.373104, 330.423059, 336.405541, 318.773339, 334.162748, 316.870565, 322.855259, 330.772057, 329.816237, 327.022438, 319.639227, 332.568725, 325.276035, 337.529561, 327.870761, 334.638320, 330.821933, 334.016399, 345.717081, 333.604871, 327.479282, 324.140417, 328.276113, 323.049041, 337.908775, 321.803917, 325.869252, 352.801686, 362.554566, 336.933481, 334.403852, 353.818967, 327.174724, 333.624699, 336.748592, 412.107898, 330.289897, 338.091284, 321.894435, 346.556458, 354.895235, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M5, 359.695163, 390.752720, 388.553516, 351.541940, 380.160624, 353.257205, 357.460737, 362.012321, 350.282610, 360.228392, 363.994405, 357.341399, 357.449573, 356.246196, 358.220764, 381.471879, 356.843843, 346.937542, 348.252600, 369.083081, 363.695481, 349.332684, 351.852775, 360.394301, 366.736769, 354.743320, 354.202714, 373.764212, 378.112503, 339.313766, 360.093964, 346.906818, 363.507976, 357.891317, 345.615164, 351.263354, 356.044260, 348.848504, 344.281151, 366.701437, 353.602401, 358.356662, 358.918051, 344.463274, 343.626503, 362.936133, 360.605656, 356.822215, 377.864893, 369.518374, 358.149971, 361.299805, 371.840023, 356.951111, 363.215806, 333.555794, 363.684915, 361.156753, 350.998126, 352.182778, 359.719473, 367.456089, 342.333308, 363.263753, 351.716689, 358.578219, 365.194903, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
