# *Raw* data from run name: arls_runs_uber_2020_05_19_1234
# Method #1 = Hybrid Deterministic s = 2^{15}
# Method #2 = Hybrid Deterministic s = 2^{16}
# Method #3 = Hybrid Deterministic s = 2^{17}
# Method #4 = Not Random
# Method #5 = Random s = 2^{15}
# Method #6 = Random s = 2^{16}
# Method #7 = Random s = 2^{17}
IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
M1, 0.186198, 0.186784, 0.186415, 0.186438, 0.186762, 0.186915, 0.186149, 0.186969, 0.186628, 0.186065
M2, 0.188398, 0.188552, 0.188549, 0.188581, 0.188609, 0.188791, 0.188667, 0.188530, 0.189315, 0.187678
M3, 0.189739, 0.189375, 0.189573, 0.189701, 0.189476, 0.189892, 0.189869, 0.189987, 0.189032, 0.189609
M4, 0.188727, 0.188848, 0.189143, 0.189613, 0.187939, 0.188615, 0.187968, 0.188824, 0.189457, 0.189096
M5, 0.184622, 0.185083, 0.185025, 0.186069, 0.185482, 0.186374, 0.185676, 0.185456, 0.185625, 0.185475
M6, 0.187587, 0.188382, 0.188062, 0.187976, 0.186328, 0.187084, 0.188419, 0.187953, 0.187791, 0.188066
M7, 0.189408, 0.189456, 0.189517, 0.189181, 0.188128, 0.189344, 0.189187, 0.189538, 0.189720, 0.189266
