# *Raw* data from run name: arls_runs_uber_2020_05_19_1234
# Method #1 = Hybrid Deterministic s = 2^{15}
# Method #2 = Hybrid Deterministic s = 2^{16}
# Method #3 = Hybrid Deterministic s = 2^{17}
# Method #4 = Not Random
# Method #5 = Random s = 2^{15}
# Method #6 = Random s = 2^{16}
# Method #7 = Random s = 2^{17}
IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
M1, 83.391453, 88.072916, 76.572710, 61.867718, 96.834871, 116.464506, 83.979002, 110.494861, 82.205432, 61.864442
M2, 145.241166, 146.428211, 126.632173, 193.429231, 118.045510, 145.673359, 176.072073, 147.798743, 146.415105, 144.930505
M3, 213.860806, 270.681669, 286.688337, 320.678595, 269.148633, 300.719076, 286.834219, 383.803752, 236.264925, 258.989509
M4, 262.686428, 327.231891, 270.006622, 266.069944, 279.586838, 260.593739, 248.713928, 249.140707, 286.634224, 241.555321
M5, 68.544077, 111.821620, 60.842665, 78.534258, 69.094680, 113.445641, 81.579640, 79.533873, 79.344586, 75.490992
M6, 95.884188, 117.322867, 109.548004, 96.489551, 66.462875, 143.102807, 145.256999, 87.562639, 96.012118, 94.843988
M7, 151.645506, 179.681170, 165.775716, 109.292988, 187.638041, 168.335828, 198.068502, 149.533253, 295.906763, 121.039585
